FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
10/6/2023;3.3;BANANA, SANDIA, PINA, MELoN, UVAS;Av. Ramos Iduarte;$5 a $10 dolares
11/6/2023;3.3;MANZANAS, SANDIA, UVAS;Av. Ramos Iduarte;$5 a $10 dolares
5/6/2023;4.2;MANZANAS, UVAS;Sucre;$10 a $15 dolares
6/6/2023;4.2;MANZANAS, FRESAS, SANDIA, PINA, MELoN, UVAS;Sucre;$20 a $25 dolares
7/6/2023;4.2;MANZANAS, FRESAS, BANANA, PINA, MELoN;Sucre;$20 a $25 dolares
8/6/2023;4.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Sucre;$10 a $15 dolares
9/6/2023;4.2;MANZANAS, SANDIA, PINA, MELoN;Sucre;$10 a $15 dolares
10/6/2023;4.2;PERAS, MANZANAS, FRESAS, BANANA, MELoN;Sucre;$10 a $15 dolares
11/6/2023;4.2;FRESAS, PINA, MELoN, UVAS;Sucre;$10 a $15 dolares
5/6/2023;5.2;FRESAS, BANANA;Av. America;$5 a $10 dolares
6/6/2023;5.2;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Av. America;$15 a $20 dolares
7/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. America;$20 a $25 dolares
8/6/2023;5.2;PERAS, MANZANAS, FRESAS, SANDIA, PINA, MELoN, UVAS;Av. America;$20 a $25 dolares
9/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN;Av. America;$20 a $25 dolares
10/6/2023;5.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. America;$30 a $35 dolares
11/6/2023;5.2;PERAS, MANZANAS, BANANA, SANDIA, MELoN, UVAS;Av. America;$15 a $20 dolares
5/6/2023;6.1;MANZANAS, FRESAS;Cesar Chavez CaNarte;$5 a $10 dolares
6/6/2023;6.1;PERAS, SANDIA, UVAS;Cesar Chavez CaNarte;$5 a $10 dolares
7/6/2023;6.1;PERAS, FRESAS, SANDIA;Cesar Chavez CaNarte;$5 a $10 dolares
8/6/2023;6.1;PERAS, MANZANAS, FRESAS;Cesar Chavez CaNarte;$5 a $10 dolares
9/6/2023;6.1;PERAS, MANZANAS, SANDIA, PINA, UVAS;Cesar Chavez CaNarte;$10 a $15 dolares
10/6/2023;6.1;PERAS, MANZANAS;Cesar Chavez CaNarte;$5 a $10 dolares
11/6/2023;6.1;PERAS, MANZANAS, PINA;Cesar Chavez CaNarte;$5 a $10 dolares
5/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle SimoN Bolivar;$15 a $20 dolares
6/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle SimoN Bolivar;$5 a $10 dolares
7/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle SimoN Bolivar;$20 a $25 dolares
8/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle SimoN Bolivar;$20 a $25 dolares
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle SimoN Bolivar;$20 a $25 dolares
